selector,model,k,lambda,selected_feature_count,selected_features,diagnostics_path,accuracy,balanced_accuracy,f1,auroc,dpd,dpr,selection_rate_min,selection_rate_max,equalized_odds_difference,equalized_odds_ratio,tpr_min,tpr_max,fpr_min,fpr_max,equal_opportunity_difference,equal_opportunity_ratio,mean_selected_mi_sensitive,max_selected_mi_sensitive,joint_subset_mi_sensitive,sensitive_attacker_balanced_accuracy,sensitive_attacker_auroc,sensitive_attacker_status,dataset_key,dataset,selector_family,k_value,lambda_value,lambda_values,selector_runtime_seconds,n_selected_features,accuracy_norm,joint_leakage_quality,attacker_leakage_quality,dpd_quality,eod_quality,eodd_quality,tradeoff_accuracy_joint_mi,tradeoff_accuracy_attacker,tradeoff_accuracy_dpd,pareto_accuracy_joint_mi
FairCFS_k8_lambda2.0,gradient_boosting,8,,,education|relationship|hours-per-week|age|occupation|birthplace|marital-status|class-worker,,0.7933333333333333,0.7840597950892068,0.7433774834437086,0.8809370031796503,0.0699821060320798,0.8368405856532528,,,0.0314619763438661,,,,,,0.0314619763438661,,0.0125395886102254,,0.6608572809917104,0.5941012723203469,,,acs_income,ACSIncome,FairCFS-style,8.0,2.0,0.0|0.5|1.0|2.0,5.8235924243927,8.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,True
mRMR_k8,logistic_regression,8,,,education|hours-per-week|relationship|occupation|age|class-worker|birthplace|marital-status,,0.7646666666666667,0.7661963434022258,0.7286702536510377,0.849185582641465,0.0268373623178521,0.9430743577639372,,,0.0406123815514477,,,,,,0.0353819408937519,,0.0125395886102254,,0.6608572809917104,0.5941012723203469,,,acs_income,ACSIncome,mRMR,8.0,,0.0|0.5|1.0|2.0,1.1907947063446045,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
FairmRMR_k8_lambda0.0,logistic_regression,8,,,education|hours-per-week|relationship|occupation|age|class-worker|birthplace|marital-status,,0.7646666666666667,0.7661963434022258,0.7286702536510377,0.849185582641465,0.0268373623178521,0.9430743577639372,,,0.0406123815514477,,,,,,0.0353819408937519,,0.0125395886102254,,0.6608572809917104,0.5941012723203469,,,acs_income,ACSIncome,fair-mRMR,8.0,0.0,0.0|0.5|1.0|2.0,1.3064284324645996,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
FairCFS_k8_lambda2.0,logistic_regression,8,,,education|relationship|hours-per-week|age|occupation|birthplace|marital-status|class-worker,,0.7646666666666667,0.7661963434022258,0.7286702536510377,0.849185582641465,0.0268373623178521,0.9430743577639372,,,0.0406123815514477,,,,,,0.0353819408937519,,0.0125395886102254,,0.6608572809917104,0.5941012723203469,,,acs_income,ACSIncome,FairCFS-style,8.0,2.0,0.0|0.5|1.0|2.0,5.8235924243927,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
mRMR_k8,random_forest,8,,,education|hours-per-week|relationship|occupation|age|class-worker|birthplace|marital-status,,0.8053333333333333,0.7944488606253313,0.7550335570469798,0.8767057498675146,0.055925380179514,0.8642283543134511,,,0.0636056856529296,,,,,,0.0636056856529296,,0.0125395886102254,,0.6608572809917104,0.5941012723203469,,,acs_income,ACSIncome,mRMR,8.0,,0.0|0.5|1.0|2.0,1.1907947063446045,8.0,1.0,1.0,1.0,0.9817026489052194,0.0,0.0,1.0,1.0,0.9908513244526097,True
FairmRMR_k8_lambda0.0,random_forest,8,,,education|hours-per-week|relationship|occupation|age|class-worker|birthplace|marital-status,,0.8053333333333333,0.7944488606253313,0.7550335570469798,0.8767057498675146,0.055925380179514,0.8642283543134511,,,0.0636056856529296,,,,,,0.0636056856529296,,0.0125395886102254,,0.6608572809917104,0.5941012723203469,,,acs_income,ACSIncome,fair-mRMR,8.0,0.0,0.0|0.5|1.0|2.0,1.3064284324645996,8.0,1.0,1.0,1.0,0.9817026489052194,0.0,0.0,1.0,1.0,0.9908513244526097,True
FairmRMR_k8_lambda0.5,gradient_boosting,8,0.5,8.0,education|marital-status|capital-gain|hours-per-week|capital-loss|age|fnlwgt|workclass,results/adult/final/diagnostics/FairmRMR_k8_lambda0.5_diagnostics.csv,0.8573333333333333,0.773564876817956,0.6815476190476191,0.9197063025615556,0.1747099919295013,0.3052547977178423,0.0767634854771784,0.2514734774066797,0.1053220718428818,0.1414447134786118,0.5161290322580645,0.6214511041009464,0.0119047619047619,0.0841654778887303,0.1053220718428818,0.8305223514000327,0.0219815875850334,0.1060794500629328,0.4803447369747589,0.7398530243075183,0.8108535895986433,ok,adult,adult,fair-mRMR,8.0,0.5,,,,0.8235294117647057,0.32926416628600197,0.4403235352140463,0.32147030702220314,0.6438635520949205,0.7368979418629327,0.5763967890253539,0.631926473489376,0.5724998593934545,True
SubsetFACMIM_k8_lambda0.5,gradient_boosting,8,0.5,8.0,education|marital-status|hours-per-week|education-num|capital-gain|capital-loss|native-country|age,results/adult/final/diagnostics/SubsetFACMIM_k8_lambda0.5_diagnostics.csv,0.856,0.7857712794126992,0.6931818181818182,0.919334414476332,0.1847451271307339,0.3307098241313624,0.0912863070539419,0.2760314341846758,0.0965117858841111,0.1098057644110275,0.6290322580645161,0.6466876971608833,0.0119047619047619,0.108416547788873,0.0176554390963671,0.9726986624704956,0.0230135418696123,0.1060794500629328,0.3258911520059796,0.7352741661955907,0.8114075749010741,ok,adult,adult,SubsetFA-CMIM,8.0,0.5,,,,0.7941176470588241,0.7825681272818283,0.45630301834681397,0.25608201423563115,0.9632925472747498,0.7736383111041122,0.7883428871703262,0.6252103327028191,0.5250998306472277,True
FairCFS_k8_lambda1.0,gradient_boosting,8,1.0,8.0,education|age|marital-status|hours-per-week|occupation|capital-gain|capital-loss|education-num,results/adult/final/diagnostics/FairCFS_k8_lambda1.0_diagnostics.csv,0.8653333333333333,0.7972550893355207,0.7122507122507122,0.9252858007009384,0.1858374976562946,0.3243479549496146,0.0892116182572614,0.275049115913556,0.0850995176958087,0.1227240896358543,0.6129032258064516,0.668769716088328,0.0119047619047619,0.0970042796005706,0.0558664902818764,0.9164637857577604,0.0356044144277209,0.1133884211525689,0.5033655323182661,0.7942905596382137,0.86951950254381,ok,adult,adult,FairCFS-style,8.0,1.0,,,,1.0,0.2617007120832686,0.2503452357466954,0.2489641984489529,0.8240637745643309,0.8212293823905318,0.6308503560416343,0.6251726178733477,0.6244820992244764,True
SubsetFACMIM_k8_lambda1.0,gradient_boosting,8,1.0,8.0,education|age|education-num|capital-gain|capital-loss|native-country|workclass|hours-per-week,results/adult/final/diagnostics/SubsetFACMIM_k8_lambda1.0_diagnostics.csv,0.832,0.7112077183253738,0.5841584158415841,0.8685104940697972,0.0762499082897879,0.5663552701731611,0.0995850622406639,0.1758349705304518,0.0779993894372646,0.7153061224489796,0.4542586750788643,0.532258064516129,0.0357142857142857,0.0499286733238231,0.0779993894372646,0.8534556925724118,0.0108015760573474,0.0359540873858558,0.2518059131432508,0.6311475409836065,0.6798869417750142,ok,adult,adult,SubsetFA-CMIM,8.0,1.0,,,,0.2647058823529414,1.0,0.8196883014401265,0.9630298523318817,0.7434186132740084,0.8508381073626144,0.6323529411764707,0.542197091896534,0.6138678673424115,True
SubsetFACMIM_k8_lambda2.0,gradient_boosting,8,2.0,8.0,education|age|education-num|capital-gain|capital-loss|native-country|workclass|hours-per-week,results/adult/final/diagnostics/SubsetFACMIM_k8_lambda2.0_diagnostics.csv,0.832,0.7112077183253738,0.5841584158415841,0.8685104940697972,0.0762499082897879,0.5663552701731611,0.0995850622406639,0.1758349705304518,0.0779993894372646,0.7153061224489796,0.4542586750788643,0.532258064516129,0.0357142857142857,0.0499286733238231,0.0779993894372646,0.8534556925724118,0.0108015760573474,0.0359540873858558,0.2518059131432508,0.6311475409836065,0.6798869417750142,ok,adult,adult,SubsetFA-CMIM,8.0,2.0,,,,0.2647058823529414,1.0,0.8196883014401265,0.9630298523318817,0.7434186132740084,0.8508381073626144,0.6323529411764707,0.542197091896534,0.6138678673424115,True
FairmRMR_k8_lambda0.5,logistic_regression,8,0.5,8.0,education|marital-status|capital-gain|hours-per-week|capital-loss|age|fnlwgt|workclass,results/adult/final/diagnostics/FairmRMR_k8_lambda0.5_diagnostics.csv,0.796,0.8102476350977619,0.6751592356687898,0.8989782492544585,0.3023706070808435,0.360055555076302,0.1701244813278008,0.4724950884086444,0.2124312207051151,0.2874914559125086,0.7419354838709677,0.8580441640378549,0.0857142857142857,0.2981455064194008,0.1161086801668871,0.8646821631878558,0.0219815875850334,0.1060794500629328,0.4803447369747589,0.7398530243075183,0.8108535895986433,ok,adult,adult,fair-mRMR,8.0,0.5,,,,0.967032967032967,0.32926416628600197,0.4403235352140463,0.1922027746882865,0.3177511054958939,0.2816870719446596,0.6481485666594845,0.7036782511235067,0.5796178708606268,True
FairCFS_k8_lambda0.5,logistic_regression,8,0.5,8.0,education|marital-status|age|hours-per-week|occupation|capital-gain|relationship|capital-loss,results/adult/final/diagnostics/FairCFS_k8_lambda0.5_diagnostics.csv,0.798,0.8168251113898963,0.6813880126182965,0.9086473394702712,0.2989834432497208,0.3737342690777453,0.1784232365145228,0.4774066797642436,0.2205183071802187,0.2742566510172143,0.8225806451612904,0.861198738170347,0.0833333333333333,0.303851640513552,0.0386180930090566,0.9551577454803262,0.0689342547516801,0.2717193255261839,0.5740663389396863,0.8625777275296778,0.9345618993781798,ok,adult,adult,FairCFS-style,8.0,0.5,,,,1.0,0.054201768672094364,0.01203393174196099,0.20193174500965838,0.7987997473152247,0.2535183647501936,0.5271008843360472,0.5060169658709806,0.6009658725048292,True
SubsetFACMIM_k8_lambda0.5,logistic_regression,8,0.5,8.0,education|marital-status|hours-per-week|education-num|capital-gain|capital-loss|native-country|age,results/adult/final/diagnostics/SubsetFACMIM_k8_lambda0.5_diagnostics.csv,0.7793333333333333,0.8034630312644901,0.661207778915046,0.8972400255143471,0.3398087536378384,0.3308988177885503,0.1680497925311203,0.5078585461689588,0.2590347123157394,0.2434027777777777,0.7419354838709677,0.8738170347003155,0.0833333333333333,0.3423680456490727,0.1318815508293477,0.8490741819028764,0.0230135418696123,0.1060794500629328,0.3258911520059796,0.7352741661955907,0.8114075749010741,ok,adult,adult,SubsetFA-CMIM,8.0,0.5,,,,0.6923076923076918,0.7825681272818283,0.45630301834681397,0.08466896915061728,0.21983575489576745,0.11935912930909998,0.7374379097947601,0.5743053553272529,0.38848833072915456,True
SubsetFACMIM_k8_lambda1.0,logistic_regression,8,1.0,8.0,education|age|education-num|capital-gain|capital-loss|native-country|workclass|hours-per-week,results/adult/final/diagnostics/SubsetFACMIM_k8_lambda1.0_diagnostics.csv,0.7646666666666667,0.7447494345182755,0.6020293122886133,0.8278087553753127,0.0893787346436345,0.7567177757560964,0.2780082987551867,0.3673870333988212,0.0062073878090974,0.991253226268999,0.7034700315457413,0.7096774193548387,0.2142857142857142,0.2154065620542082,0.0062073878090974,0.991253226268999,0.0108015760573474,0.0359540873858558,0.2518059131432508,0.6311475409836065,0.6798869417750142,ok,adult,adult,SubsetFA-CMIM,8.0,1.0,,,,0.4505494505494515,1.0,0.8196883014401265,0.8039805654744481,1.0,1.0,0.7252747252747258,0.635118875994789,0.6272650080119497,True
SubsetFACMIM_k8_lambda2.0,logistic_regression,8,2.0,8.0,education|age|education-num|capital-gain|capital-loss|native-country|workclass|hours-per-week,results/adult/final/diagnostics/SubsetFACMIM_k8_lambda2.0_diagnostics.csv,0.7646666666666667,0.7447494345182755,0.6020293122886133,0.8278087553753127,0.0893787346436345,0.7567177757560964,0.2780082987551867,0.3673870333988212,0.0062073878090974,0.991253226268999,0.7034700315457413,0.7096774193548387,0.2142857142857142,0.2154065620542082,0.0062073878090974,0.991253226268999,0.0108015760573474,0.0359540873858558,0.2518059131432508,0.6311475409836065,0.6798869417750142,ok,adult,adult,SubsetFA-CMIM,8.0,2.0,,,,0.4505494505494515,1.0,0.8196883014401265,0.8039805654744481,1.0,1.0,0.7252747252747258,0.635118875994789,0.6272650080119497,True
SubsetFACMIM_k8_lambda1.0,random_forest,8,1.0,8.0,education|age|education-num|capital-gain|capital-loss|native-country|workclass|hours-per-week,results/adult/final/diagnostics/SubsetFACMIM_k8_lambda1.0_diagnostics.csv,0.7813333333333333,0.7646325016064153,0.6281179138321995,0.8621660362614421,0.118094221033839,0.6836317973356628,0.2551867219917012,0.3732809430255402,0.0254126757693091,0.8796332046332047,0.7258064516129032,0.7318611987381703,0.1857142857142857,0.2111269614835948,0.0060547471252671,0.9917269187986651,0.0108015760573474,0.0359540873858558,0.2518059131432508,0.6311475409836065,0.6798869417750142,ok,adult,adult,SubsetFA-CMIM,8.0,1.0,,,,0.728571428571428,1.0,0.8196883014401265,0.8888185896698492,1.0,0.9826131844903846,0.864285714285714,0.7741298650057773,0.8086950091206386,True
ProxyRank_k8_lambda2.0,random_forest,8,2.0,8.0,education|education-num|age|fnlwgt|capital-gain|capital-loss|native-country|workclass,results/adult/final/diagnostics/ProxyRank_k8_lambda2.0_diagnostics.csv,0.794,0.7530227675534706,0.6217870257037944,0.8347922487225172,0.0786995899534519,0.7519622830569223,0.2385892116182572,0.3172888015717092,0.0665004579220515,0.9083771468629512,0.6593059936908517,0.7258064516129032,0.1626248216833095,0.1666666666666666,0.0665004579220515,0.9083771468629512,0.0064451508567111,0.0126614406876996,0.2596870075993482,0.579479932165065,0.6039344262295082,ok,adult,adult,ProxyRank,8.0,2.0,,,,1.0,0.9768698710706304,1.0,1.0,0.6963966266291844,0.864088367340421,0.9884349355353153,1.0,1.0,True
SubsetFACMIM_k8_lambda2.0,random_forest,8,2.0,8.0,education|age|education-num|capital-gain|capital-loss|native-country|workclass|hours-per-week,results/adult/final/diagnostics/SubsetFACMIM_k8_lambda2.0_diagnostics.csv,0.7813333333333333,0.7646325016064153,0.6281179138321995,0.8621660362614421,0.118094221033839,0.6836317973356628,0.2551867219917012,0.3732809430255402,0.0254126757693091,0.8796332046332047,0.7258064516129032,0.7318611987381703,0.1857142857142857,0.2111269614835948,0.0060547471252671,0.9917269187986651,0.0108015760573474,0.0359540873858558,0.2518059131432508,0.6311475409836065,0.6798869417750142,ok,adult,adult,SubsetFA-CMIM,8.0,2.0,,,,0.728571428571428,1.0,0.8196883014401265,0.8888185896698492,1.0,0.9826131844903846,0.864285714285714,0.7741298650057773,0.8086950091206386,True
ProxyRank_k8_lambda0.5,gradient_boosting,8,,,priors_count|c_charge_desc|age|age_cat|c_charge_degree|juv_fel_count|juv_misd_count|juv_other_count,,0.6813333333333333,0.6768054457415879,0.6400602409638554,0.7380780701456923,0.2073144408920931,0.5858349089113217,,,0.2520655308458503,,,,,,0.2520655308458503,,0.0258934080436636,,0.5445003816101088,0.6532411156883762,,,compas,COMPAS,ProxyRank,8.0,0.5,0.0|0.5|1.0|2.0,0.4486849308013916,8.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,True
FairCFS_k8_lambda0.5,gradient_boosting,8,,,priors_count|c_charge_desc|age|juv_fel_count|juv_misd_count|juv_other_count|c_charge_degree|age_cat,,0.6813333333333333,0.6768054457415879,0.6400602409638554,0.7380173873933367,0.2073144408920931,0.5858349089113217,,,0.2520655308458503,,,,,,0.2520655308458503,,0.0258934080436636,,0.5445003816101088,0.6532411156883762,,,compas,COMPAS,FairCFS-style,8.0,0.5,0.0|0.5|1.0|2.0,5.357962608337402,8.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,True
BasicFACMIM_k8_lambda0.5,gradient_boosting,8,,,priors_count|c_charge_desc|age|c_charge_degree|juv_fel_count|juv_misd_count|juv_other_count|age_cat,,0.6813333333333333,0.6768054457415879,0.6400602409638554,0.7380173873933367,0.2073144408920931,0.5858349089113217,,,0.2520655308458503,,,,,,0.2520655308458503,,0.0258934080436636,,0.5445003816101088,0.6532411156883762,,,compas,COMPAS,BasicFA-CMIM,8.0,0.5,0.0|0.5|1.0|2.0,13.562366485595703,8.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,True
ProxyRank_k8_lambda1.0,gradient_boosting,8,,,priors_count|c_charge_degree|juv_fel_count|juv_misd_count|juv_other_count|age|age_cat|c_charge_desc,,0.6813333333333333,0.6768054457415879,0.6400602409638554,0.7383725599732995,0.2073144408920931,0.5858349089113217,,,0.2520655308458503,,,,,,0.2520655308458503,,0.0258934080436636,,0.5445003816101088,0.6532411156883762,,,compas,COMPAS,ProxyRank,8.0,1.0,0.0|0.5|1.0|2.0,0.2791562080383301,8.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,True
BasicFACMIM_k8_lambda1.0,gradient_boosting,8,,,priors_count|c_charge_desc|age|juv_fel_count|juv_misd_count|juv_other_count|c_charge_degree|age_cat,,0.6813333333333333,0.6768054457415879,0.6400602409638554,0.7380173873933367,0.2073144408920931,0.5858349089113217,,,0.2520655308458503,,,,,,0.2520655308458503,,0.0258934080436636,,0.5445003816101088,0.6532411156883762,,,compas,COMPAS,BasicFA-CMIM,8.0,1.0,0.0|0.5|1.0|2.0,13.477242708206177,8.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,True
ProxyRank_k8_lambda2.0,gradient_boosting,8,,,priors_count|juv_fel_count|juv_misd_count|juv_other_count|c_charge_degree|age_cat|age|c_charge_desc,,0.6813333333333333,0.6768054457415879,0.6400602409638554,0.7383725599732995,0.2073144408920931,0.5858349089113217,,,0.2520655308458503,,,,,,0.2520655308458503,,0.0258934080436636,,0.5445003816101088,0.6532411156883762,,,compas,COMPAS,ProxyRank,8.0,2.0,0.0|0.5|1.0|2.0,0.2691254615783691,8.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,True
FairmRMR_k8_lambda2.0,gradient_boosting,8,,,priors_count|juv_fel_count|juv_misd_count|juv_other_count|c_charge_degree|age_cat|age|c_charge_desc,,0.6813333333333333,0.6768054457415879,0.6400602409638554,0.7383725599732995,0.2073144408920931,0.5858349089113217,,,0.2520655308458503,,,,,,0.2520655308458503,,0.0258934080436636,,0.5445003816101088,0.6532411156883762,,,compas,COMPAS,fair-mRMR,8.0,2.0,0.0|0.5|1.0|2.0,1.2474520206451416,8.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,True
FairLasso_k8_lambda2.0,gradient_boosting,8,,,c_charge_desc|priors_count|c_charge_degree|juv_fel_count|juv_misd_count|juv_other_count|age|age_cat,,0.6813333333333333,0.6767215607603906,0.6395173453996983,0.7372517138415574,0.1995402646614433,0.5977664642377678,,,0.2374254728163756,,,,,,0.2374254728163756,,0.0258934080436636,,0.5445003816101088,0.6532411156883762,,,compas,COMPAS,FairLasso-style,8.0,2.0,0.0|0.5|1.0|2.0,1.6375949382781982,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
