dataset,selector,model,accuracy,balanced_accuracy,f1,auroc,dpd,dpr,equal_opportunity_difference,equalized_odds_difference,mean_selected_mi_sensitive,joint_subset_mi_sensitive,sensitive_attacker_balanced_accuracy,k,lambda_values,selector_runtime_seconds,n_selected_features,selected_features,utility_norm,fairness_norm,tradeoff_score,fairness_metric_used_for_tradeoff
German Credit,ProxyRank_k8_lambda1.0,gradient_boosting,0.7633333333333333,0.6817460317460318,0.5477707006369427,0.7669576719576721,0.0037274069906463,0.9833647206528562,0.1232718894009216,0.1232718894009216,0.0117875617631894,0.4489252618460084,0.5993389127224137,8,0.0|0.5|1.0|2.0,0.2964558601379394,8,checking_status|savings_status|duration|other_payment_plans|property_magnitude|credit_history|foreign_worker|credit_amount,1.0,0.9702572347266876,0.9851286173633438,dpd
German Credit,BasicFACMIM_k8_lambda1.0,logistic_regression,0.7333333333333333,0.7301587301587302,0.6190476190476191,0.7903174603174604,0.0084394120542936,0.9792531120331948,0.2188940092165898,0.2188940092165898,0.0139562361304513,0.4911255929135176,0.6266615092481891,8,0.0|0.5|1.0|2.0,5.000693082809448,8,checking_status|duration|property_magnitude|other_payment_plans|purpose|savings_status|credit_history|credit_amount,1.0,1.0,1.0,dpd
German Credit,BasicFACMIM_k8_lambda2.0,random_forest,0.7666666666666667,0.6714285714285715,0.527027027027027,0.7509523809523808,0.0547155214853365,0.7694131594546532,0.0069124423963133,0.030455938006848,0.0118286355033899,0.4865046117097847,0.6176594697236093,8,0.0|0.5|1.0|2.0,6.413734674453735,8,checking_status|duration|other_payment_plans|property_magnitude|savings_status|purpose|credit_amount|foreign_worker,1.0,0.5699638118214713,0.7849819059107357,dpd
German Credit,BasicFACMIM_k8_lambda1.0,gradient_boosting,0.7533333333333333,0.6587301587301587,0.5066666666666667,0.7716402116402116,0.0042197060271468,0.9792531120331948,0.042626728110599,0.0850603712380609,0.0139562361304513,0.4911255929135176,0.6266615092481891,8,0.0|0.5|1.0|2.0,5.000693082809448,8,checking_status|duration|property_magnitude|other_payment_plans|purpose|savings_status|credit_history|credit_amount,0.833333333333333,0.7500000000000002,0.7916666666666666,equal_opportunity_difference
German Credit,FairLasso_k8_lambda0.0,logistic_regression,0.73,0.7182539682539683,0.6048780487804878,0.7946031746031746,0.0713833602925662,0.8380146824130227,0.1186635944700461,0.1186635944700461,0.0215450126440387,0.4957465741172506,0.6539841057739644,8,0.0|0.5|1.0|2.0,0.2910387516021728,8,purpose|checking_status|duration|credit_history|savings_status|employment|property_magnitude|installment_commitment,0.947368421052632,0.4754098360655734,0.7113891285591027,equal_opportunity_difference
German Credit,BasicFACMIM_k8_lambda2.0,random_forest,0.7666666666666667,0.6714285714285715,0.527027027027027,0.7509523809523808,0.0547155214853365,0.7694131594546532,0.0069124423963133,0.030455938006848,0.0118286355033899,0.4865046117097847,0.6176594697236093,8,0.0|0.5|1.0|2.0,6.413734674453735,8,checking_status|duration|other_payment_plans|property_magnitude|savings_status|purpose|credit_amount|foreign_worker,1.0,0.990990990990991,0.9954954954954957,equal_opportunity_difference
German Credit,SubsetFACMIM_k8_lambda0.5,gradient_boosting,0.73,0.6357142857142857,0.4705882352941176,0.7483597883597883,0.0339686335185315,0.8568464730290456,0.01036866359447,0.0373040187421157,0.0154513419099128,0.2681276745417302,0.6699134960264435,8,0.0|0.5|1.0|2.0,6.022196292877197,8,checking_status|duration|other_payment_plans|credit_history|foreign_worker|num_dependents|other_parties|existing_credits,0.444444444444444,0.8725724926842238,0.6585084685643339,equalized_odds_difference
German Credit,FairLasso_k8_lambda0.0,logistic_regression,0.73,0.7182539682539683,0.6048780487804878,0.7946031746031746,0.0713833602925662,0.8380146824130227,0.1186635944700461,0.1186635944700461,0.0215450126440387,0.4957465741172506,0.6539841057739644,8,0.0|0.5|1.0|2.0,0.2910387516021728,8,purpose|checking_status|duration|credit_history|savings_status|employment|property_magnitude|installment_commitment,0.947368421052632,0.6304347826086951,0.7889016018306636,equalized_odds_difference
German Credit,BasicFACMIM_k8_lambda2.0,random_forest,0.7666666666666667,0.6714285714285715,0.527027027027027,0.7509523809523808,0.0547155214853365,0.7694131594546532,0.0069124423963133,0.030455938006848,0.0118286355033899,0.4865046117097847,0.6176594697236093,8,0.0|0.5|1.0|2.0,6.413734674453735,8,checking_status|duration|other_payment_plans|property_magnitude|savings_status|purpose|credit_amount|foreign_worker,1.0,0.8068850973878909,0.9034425486939456,equalized_odds_difference
German Credit,SubsetFACMIM_k8_lambda0.5,gradient_boosting,0.73,0.6357142857142857,0.4705882352941176,0.7483597883597883,0.0339686335185315,0.8568464730290456,0.01036866359447,0.0373040187421157,0.0154513419099128,0.2681276745417302,0.6699134960264435,8,0.0|0.5|1.0|2.0,6.022196292877197,8,checking_status|duration|other_payment_plans|credit_history|foreign_worker|num_dependents|other_parties|existing_credits,0.444444444444444,0.9126252377367696,0.6785348410906069,joint_subset_mi_sensitive
German Credit,SubsetFACMIM_k8_lambda0.5,logistic_regression,0.7033333333333334,0.7150793650793651,0.600896860986547,0.781058201058201,0.0810886841550038,0.8405255878284924,0.0956221198156681,0.0956221198156681,0.0154513419099128,0.2681276745417302,0.6699134960264435,8,0.0|0.5|1.0|2.0,6.022196292877197,8,checking_status|duration|other_payment_plans|credit_history|foreign_worker|num_dependents|other_parties|existing_credits,0.5263157894736848,0.9126252377367696,0.7194705136052273,joint_subset_mi_sensitive
German Credit,SubsetFACMIM_k8_lambda0.5,random_forest,0.7,0.6365079365079365,0.4886363636363636,0.7024603174603175,0.0651241296856318,0.807883817427386,0.032258064516129,0.032258064516129,0.0154513419099128,0.2681276745417302,0.6699134960264435,8,0.0|0.5|1.0|2.0,6.022196292877197,8,checking_status|duration|other_payment_plans|credit_history|foreign_worker|num_dependents|other_parties|existing_credits,0.2592592592592588,0.9126252377367696,0.5859422484980144,joint_subset_mi_sensitive
